App Name, Category, Filesystem Type Required, Supports CLI, Supports GUI, isPaidApp, Version
Ubuntu, Distribution, ubuntu, true, true, true, 1
Debian, Distribution, debian, true, true, true, 1
Arch, Distribution, arch, true, true, true, 1
Kali, Distribution, kali, true, true, true, 1
Alpine, Distribution, alpine, true, true, true, 1
LXDE, Desktop, debian, false, true, true, 1
XFCE, Desktop, debian, false, true, true, 1
Octave, Math, debian, true, true, true, 1
R, Math, debian, true, true, true, 1
Gnuplot, Math, debian, true, true, true, 1
Zork, Game, debian, true, true, true, 1
Adventure, Game, debian, true, true, true, 1
Firefox, Browser, debian, false, true, true, 1
LibreOffice, Office, debian, false, true, true, 1
Gimp, Office, debian, false, true, true, 1
Inkscape, Office, debian, false, true, true, 1
Git, Development, debian, false, true, true, 1
Idle, Development, debian, false, true, true, 1
